card_names,card_odds,contest
Riccardo Calafiori CM,10 - 14,Arsenal v Brighton
Kai Havertz CM,9 - 13,Arsenal v Brighton
Martin Zubimendi CM,9 - 13,Arsenal v Brighton
Mikel Merino CM,8 - 12,Arsenal v Brighton
Myles Lewis-Skelly CM,7 - 11,Arsenal v Brighton
Declan Rice CM,7 - 10,Arsenal v Brighton
Gabriel Magalhaes CM,7 - 10,Arsenal v Brighton
Jurrien Timber CM,7 - 10,Arsenal v Brighton
Bukayo Saka CM,6 - 9,Arsenal v Brighton
William Saliba CM,4 - 7,Arsenal v Brighton
Viktor Gyokeres CM,3 - 6,Arsenal v Brighton
Leandro Trossard CM,3 - 6,Arsenal v Brighton
Ethan Nwaneri CM,3 - 6,Arsenal v Brighton
Martin Odegaard CM,3 - 6,Arsenal v Brighton
Noni Madueke CM,3 - 6,Arsenal v Brighton
Gabriel Martinelli CM,2.5 - 5,Arsenal v Brighton
Kepa Arrizabalaga CM,3 - 6,Arsenal v Brighton
Eberechi Eze CM,2 - 4,Arsenal v Brighton
David Raya CM,2.5 - 5,Arsenal v Brighton
Joel Veltman CM,15 - 19,Arsenal v Brighton
Jan Paul van Hecke CM,15 - 19,Arsenal v Brighton
Mats Wieffer CM,15 - 19,Arsenal v Brighton
Diego Coppola CM,15 - 19,Arsenal v Brighton
Olivier Boscagli CM,13 - 17,Arsenal v Brighton
Lewis Dunk CM,13 - 17,Arsenal v Brighton
James Milner CM,12 - 16,Arsenal v Brighton
Diego Gomez CM,10 - 14,Arsenal v Brighton
Maxime De Cuyper CM,9 - 13,Arsenal v Brighton
Jack Hinshelwood CM,9 - 13,Arsenal v Brighton
Ferdi Kadioglu CM,8 - 12,Arsenal v Brighton
Charalampos Kostoulas CM,8 - 12,Arsenal v Brighton
Tom Watson CM,7 - 11,Arsenal v Brighton
Bart Verbruggen CM,10 - 14,Arsenal v Brighton
Georginio Rutter CM,7 - 10,Arsenal v Brighton
Yasin Ayari CM,7 - 10,Arsenal v Brighton
Yankuba Minteh CM,6 - 9,Arsenal v Brighton
Danny Welbeck CM,6 - 9,Arsenal v Brighton
Brajan Gruda CM,6 - 9,Arsenal v Brighton
Kaoru Mitoma CM,2.5 - 5,Arsenal v Brighton
Jason Steele CM,2.5 - 5,Arsenal v Brighton
Kevin Schade CM,13 - 17,Brentford v Bournemouth
Igor Thiago CM,12 - 16,Brentford v Bournemouth
Aaron Hickey CM,12 - 16,Brentford v Bournemouth
Yehor Yarmolyuk CM,10 - 14,Brentford v Bournemouth
Jordan Henderson CM,10 - 14,Brentford v Bournemouth
Mathias Jensen CM,9 - 13,Brentford v Bournemouth
Sepp van den Berg CM,9 - 13,Brentford v Bournemouth
Nathan Collins CM,9 - 13,Brentford v Bournemouth
Kristoffer Ajer CM,9 - 13,Brentford v Bournemouth
Vitaly Janelt CM,8 - 12,Brentford v Bournemouth
Michael Kayode CM,8 - 12,Brentford v Bournemouth
Keane Lewis-Potter CM,7 - 10,Brentford v Bournemouth
Ethan Pinnock CM,7 - 10,Brentford v Bournemouth
Rico Henry CM,6 - 9,Brentford v Bournemouth
Mikkel Damsgaard CM,5 - 8,Brentford v Bournemouth
Caoimhin Kelleher CM,3 - 6,Brentford v Bournemouth
Marcos Senesi CM,22 - 26,Brentford v Bournemouth
Lewis Cook CM,21 - 25,Brentford v Bournemouth
Ryan Christie CM,16 - 20,Brentford v Bournemouth
Adam Smith CM,15 - 19,Brentford v Bournemouth
