player_id,first_name,second_name,position_id,position,team_id,team,team_code,web_name
841,Lewis,Warrington,3,MID,9,Everton,11,Warrington
863,Billy,Crellin,1,GKP,9,Everton,11,Crellin
193,Armando,Broja,4,FWD,10,Fulham,54,Broja
256,Alex,Iwobi,3,MID,10,Fulham,54,Iwobi
267,Andreas,Hoelgebaum Pereira,3,MID,10,Fulham,54,Andreas
268,Tom,Cairney,3,MID,10,Fulham,54,Cairney
269,Ivan,Neves Abreu Cavaleiro,3,MID,10,Fulham,54,I.Cavaleiro
270,Bobby,De Cordova-Reid,3,MID,10,Fulham,54,De Cordova-Reid
271,Issa,Diop,2,DEF,10,Fulham,54,Diop
272,Tyrese,Francois,3,MID,10,Fulham,54,Francois
273,Anthony,Knockaert,3,MID,10,Fulham,54,Knockaert
274,Terence,Kongolo,2,DEF,10,Fulham,54,Kongolo
275,Bernd,Leno,1,GKP,10,Fulham,54,Leno
276,Saša,Lukić,3,MID,10,Fulham,54,Lukić
277,Kevin,Mbabu,2,DEF,10,Fulham,54,Mbabu
278,Aleksandar,Mitrović,4,FWD,10,Fulham,54,Mitrović
279,Rodrigo,Muniz Carvalho,4,FWD,10,Fulham,54,Muniz
280,João,Palhinha Gonçalves,3,MID,10,Fulham,54,J.Palhinha
