,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
93,3086421,18,,[],46,28,1,0,997,"(409, 506, 419, 311, 412, 362, 308, 516, 19, 85, 60, 524, 20, 33, 5)",1052,60,516,79,2544535,2577718,1330952
94,3086421,19,,[],39,15,1,0,1036,"(409, 506, 20, 5, 290, 412, 308, 516, 19, 85, 60, 524, 33, 419, 362)",1055,308,516,42,4810399,4855569,1378476
95,3086421,20,,[],102,10,1,0,1138,"(524, 506, 5, 290, 362, 353, 308, 516, 19, 85, 60, 409, 20, 419, 33)",1059,308,353,27,47550,51598,775686
96,3086421,21,,[],81,6,4,12,1207,"(524, 506, 5, 20, 131, 362, 353, 134, 294, 19, 60, 409, 290, 85, 33)",1056,19,353,98,240712,241238,579563
97,3086421,22,,[],58,6,0,0,1265,"(524, 506, 290, 20, 362, 353, 134, 294, 19, 85, 60, 409, 131, 5, 33)",1060,294,353,98,2863408,2899686,567418
98,3086421,23,,[],77,2,3,4,1338,"(409, 150, 290, 131, 362, 353, 349, 294, 19, 355, 60, 524, 5, 20, 33)",1052,355,60,0,1653946,1655349,540379
99,3086421,24,,[],96,8,0,0,1434,"(409, 5, 290, 20, 362, 353, 349, 294, 19, 355, 60, 524, 131, 33, 150)",1060,355,349,0,52508,54439,294200
100,3086421,25,3xc,[],81,10,2,0,1515,"(409, 5, 757, 20, 362, 353, 349, 294, 19, 355, 293, 524, 33, 131, 150)",1059,355,293,55,3244756,3264730,303398
101,3086421,26,,[],51,0,2,4,1562,"(524, 5, 131, 20, 150, 557, 353, 349, 19, 60, 355, 409, 33, 757, 362)",1060,355,19,67,4034180,4056641,360751
102,3086421,27,,[],89,14,1,0,1651,"(409, 5, 20, 757, 516, 362, 353, 349, 19, 60, 355, 524, 150, 131, 33)",1064,19,355,27,352293,363135,269087
103,3086421,28,,[],72,16,4,12,1711,"(77, 5, 321, 89, 516, 362, 353, 19, 85, 60, 355, 524, 349, 150, 757)",1064,85,77,6,312088,312789,237382
104,3086421,29,freehit,[],15,21,0,0,1726,"(101, 508, 321, 506, 516, 689, 526, 504, 326, 60, 117, 49, 447, 467, 528)",1063,516,117,6,3276052,3390768,253372
105,3086421,30,,[],60,9,0,0,1786,"(77, 5, 321, 89, 516, 362, 353, 19, 85, 60, 355, 524, 349, 150, 757)",1064,85,77,6,2101228,2137972,250023
106,3086421,31,,"[(590, 19), (150, 355)]",73,1,2,0,1859,"(77, 89, 757, 5, 150, 353, 308, 362, 516, 590, 85, 524, 19, 355, 321)",1063,308,19,11,1019402,1027842,191609
107,3086421,32,,"[(590, 353)]",58,3,0,0,1917,"(77, 89, 757, 5, 308, 362, 516, 19, 590, 85, 355, 524, 353, 150, 321)",1065,355,516,11,4616572,4673944,214988
