,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
92,2123267,361997,17,,"[(160, 602), (33, 504)]",23,417,"(352, 519, 36, 160, 308, 19, 599, 567, 33, 355, 343, 28, 504, 602, 131)",355,308,8
93,2123267,361997,18,,"[(28, 352), (160, 519), (33, 504)]",35,417,"(28, 160, 36, 602, 308, 19, 599, 567, 33, 355, 343, 352, 504, 519, 131)",355,308,8
94,2123267,361997,19,,"[(160, 36), (131, 602), (33, 504)]",31,417,"(352, 519, 160, 131, 308, 19, 599, 567, 33, 355, 343, 28, 504, 36, 602)",355,308,8
95,2123267,361997,20,,"[(160, 36), (33, 504), (131, 355)]",70,417,"(352, 519, 160, 602, 131, 308, 19, 599, 567, 33, 343, 28, 504, 36, 355)",355,308,8
96,2123267,361997,21,,"[(131, 602), (33, 308)]",23,417,"(352, 519, 36, 131, 19, 504, 599, 567, 33, 355, 343, 28, 308, 160, 602)",355,308,8
97,2123267,361997,22,,"[(131, 602), (33, 308)]",60,417,"(352, 519, 36, 131, 19, 504, 599, 567, 33, 355, 343, 28, 308, 160, 602)",355,308,8
98,2123267,361997,23,,"[(131, 602), (33, 308)]",40,417,"(352, 519, 36, 131, 19, 504, 599, 567, 33, 355, 343, 28, 308, 160, 602)",355,308,8
99,2123267,361997,24,,"[(131, 602), (33, 308)]",62,417,"(352, 519, 36, 131, 19, 504, 599, 567, 33, 355, 343, 28, 308, 160, 602)",355,308,8
100,2123267,361997,25,,"[(131, 519)]",75,417,"(352, 131, 36, 602, 308, 19, 504, 599, 567, 355, 343, 28, 33, 160, 519)",355,308,8
101,2123267,361997,26,,"[(131, 519)]",36,417,"(352, 131, 36, 602, 308, 19, 504, 599, 567, 355, 343, 28, 33, 160, 519)",355,308,8
102,2123267,361997,27,,"[(131, 308)]",39,417,"(352, 519, 36, 602, 131, 19, 504, 599, 567, 355, 343, 28, 33, 160, 308)",355,308,8
103,2123267,361997,28,,[],30,417,"(352, 519, 36, 602, 308, 19, 504, 599, 567, 343, 355, 28, 33, 160, 131)",355,308,8
104,2123267,361997,29,,[],9,417,"(352, 519, 36, 602, 308, 19, 504, 599, 567, 343, 355, 28, 33, 160, 131)",355,308,8
105,2123267,361997,30,,"[(131, 36)]",32,417,"(352, 519, 131, 602, 308, 19, 504, 599, 567, 355, 343, 28, 33, 160, 36)",355,308,8
106,2123267,361997,31,,"[(28, 352)]",10,417,"(28, 519, 36, 602, 308, 19, 504, 599, 567, 355, 343, 352, 33, 160, 131)",355,308,8
107,2123267,361997,32,,"[(131, 36), (33, 567)]",48,417,"(352, 519, 131, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 36)",355,308,8
108,2123267,361997,33,,"[(131, 36), (33, 567)]",37,417,"(352, 519, 131, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 36)",355,308,8
109,2123267,361997,34,,"[(33, 504)]",42,417,"(352, 519, 36, 602, 308, 19, 599, 567, 33, 355, 343, 28, 504, 160, 131)",355,308,8
110,2123267,361997,35,,"[(33, 567)]",36,417,"(352, 519, 36, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 131)",355,308,8
111,2123267,361997,36,,"[(33, 567)]",79,417,"(352, 519, 36, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 131)",355,308,8
112,2123267,361997,37,,"[(33, 567)]",66,417,"(352, 519, 36, 602, 308, 19, 504, 599, 33, 355, 343, 28, 567, 160, 131)",355,308,8
113,2123267,361997,38,,"[(33, 19)]",21,417,"(352, 519, 36, 602, 308, 504, 599, 567, 33, 355, 343, 28, 19, 160, 131)",355,308,8
114,2123267,2473399,1,,[],69,69,"(352, 398, 131, 20, 19, 226, 396, 6, 143, 135, 355, 28, 297, 265, 195)",396,19,0
115,2123267,2473399,2,,[],48,117,"(28, 195, 131, 20, 19, 599, 396, 143, 135, 297, 355, 352, 6, 398, 265)",355,19,0
116,2123267,2473399,3,wildcard,[],59,176,"(352, 195, 131, 20, 19, 108, 353, 143, 216, 211, 355, 28, 119, 395, 511)",355,216,17
117,2123267,2473399,4,,[],76,252,"(352, 195, 131, 511, 19, 108, 353, 216, 119, 523, 355, 28, 143, 395, 20)",355,216,27
118,2123267,2473399,5,,[],40,288,"(352, 195, 20, 511, 19, 108, 353, 216, 504, 437, 355, 28, 131, 119, 395)",355,504,8
119,2123267,2473399,6,,[],61,349,"(352, 511, 20, 131, 19, 108, 353, 216, 504, 225, 355, 28, 119, 195, 395)",355,19,18
120,2123267,2473399,7,freehit,[],54,403,"(424, 544, 350, 265, 430, 19, 526, 353, 664, 308, 355, 28, 245, 82, 33)",355,526,18
121,2123267,2473399,8,,"[(20, 395), (119, 19)]",48,447,"(28, 20, 688, 511, 108, 353, 516, 504, 119, 225, 355, 352, 19, 395, 131)",516,355,4
122,2123267,2473399,9,,[],86,533,"(28, 511, 439, 395, 108, 353, 516, 504, 119, 225, 355, 352, 19, 20, 688)",516,355,9
